Total Nonfarm,Manufacturing,"Trade, Transportation, and Utils",Information,Financial Activities,Professional & Business Services,Education & Health Services,Leisure & Hospitality,Other Services,Government,"Mining, Logging and Construction",pct_Manufacturing,"pct_Trade, Transportation, and Utils",pct_Information,pct_Financial Activities,pct_Professional & Business Services,pct_Education & Health Services,pct_Leisure & Hospitality,pct_Other Services,pct_Government,"pct_Mining, Logging and Construction",clusters-4,clusters-3,clusters-5
4491.317,475.025,833.033,74.65,242.55,635.883,611.467,502.408,161.383,728.525,226.392,0.1058,0.1855,0.0166,0.054,0.1416,0.1361,0.1119,0.0359,0.1622,0.0504,2,0,2
436.533,26.05,94.317,6.233,24.808,32.692,66.575,40.367,15.375,82.583,47.534,0.0597,0.2161,0.0143,0.0568,0.0749,0.1525,0.0925,0.0352,0.1892,0.1089,0,2,3
5562.942,698.783,1024.225,70.867,308.167,730.975,930.633,567.033,213.475,785.825,232.959,0.1256,0.1841,0.0127,0.0554,0.1314,0.1673,0.1019,0.0384,0.1413,0.0419,2,0,2
1689.492,138.717,298.775,19.925,79.142,192.542,236.408,171.8,70.458,348.45,133.27499999999998,0.0821,0.1768,0.0118,0.0468,0.114,0.1399,0.1017,0.0417,0.2062,0.0789,0,2,3
1922.95,195.117,352.667,34.333,102.258,249.667,305.425,211.375,64.408,294.942,112.75,0.1015,0.1834,0.0179,0.0532,0.1298,0.1588,0.1099,0.0335,0.1534,0.0586,0,2,0
6010.642,570.792,1127.008,86.242,325.95,805.775,1274.75,571.975,260.392,703.233,284.525,0.095,0.1875,0.0143,0.0542,0.1341,0.2121,0.0952,0.0433,0.117,0.0473,2,0,2
500.617,40.4,77.283,5.917,35.35,68.342,106.8,59.225,22.958,64.942,19.4,0.0807,0.1544,0.0118,0.0706,0.1365,0.2133,0.1183,0.0459,0.1297,0.0388,0,2,3
2154.825,249.792,404.525,29.133,104.05,293.625,253.867,264.042,77.808,367.892,110.091,0.1159,0.1877,0.0135,0.0483,0.1363,0.1178,0.1225,0.0361,0.1707,0.0511,0,2,0
437.733,44.383,86.533,5.583,29.25,32.3,72.2,47.35,16.692,79.475,23.967,0.1014,0.1977,0.0128,0.0668,0.0738,0.1649,0.1082,0.0381,0.1816,0.0548,0,2,3
3067.283,350.75,626.533,45.05,168.367,416.092,439.942,337.608,118.15,435.875,128.917,0.1144,0.2043,0.0147,0.0549,0.1357,0.1434,0.1101,0.0385,0.1421,0.042,2,0,0
12523.575,881.967,2477.367,204.883,778.9,1746.092,1698.958,1356.533,436.058,1956.867,985.95,0.0704,0.1978,0.0164,0.0622,0.1394,0.1357,0.1083,0.0348,0.1563,0.0787,1,1,1
1515.667,133.775,284.492,38.5,87.7,216.575,203.55,148.617,41.167,247.5,113.791,0.0883,0.1877,0.0254,0.0579,0.1429,0.1343,0.0981,0.0272,0.1633,0.0751,0,2,3
315.992,29.792,54.625,4.325,12.133,28.95,66.392,37.175,10.292,56.233,16.075,0.0943,0.1729,0.0137,0.0384,0.0916,0.2101,0.1176,0.0326,0.178,0.0509,0,2,3
4011.292,240.5,661.1,67.633,208.275,749.775,546.233,410.483,198.342,722.7,206.25,0.06,0.1648,0.0169,0.0519,0.1869,0.1362,0.1023,0.0494,0.1802,0.0514,2,0,2
3401.008,287.683,636.008,134.2,157.742,424.183,490.458,341.858,122.25,587.208,219.417,0.0846,0.187,0.0395,0.0464,0.1247,0.1442,0.1005,0.0359,0.1727,0.0645,2,0,0
725.783,46.975,130.267,8.217,29.317,68.917,128.167,74.242,24.408,152.617,62.658,0.0647,0.1795,0.0113,0.0404,0.095,0.1766,0.1023,0.0336,0.2103,0.0863,0,2,3
2980.317,479.625,540.125,47.2,152.975,328.267,457.292,282.425,152.167,413.167,127.075,0.1609,0.1812,0.0158,0.0513,0.1101,0.1534,0.0948,0.0511,0.1386,0.0426,2,0,0
285.942,9.758,52.033,3.55,11.1,18.717,28.25,36.467,16.267,68.75,41.05,0.0341,0.182,0.0124,0.0388,0.0655,0.0988,0.1275,0.0569,0.2404,0.1436,0,2,3
