"GeoFips","GeoName","LineCode","Description","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3"
"45000","South Carolina","3","Per capita personal income (dollars) 2/",35571,35783,35624,36392,35672,35821,36143,36310,36992,37746,38152,38548,39116,39513,39932,40209,40313,40555,40843,41247,41866,42192,42382,42708,43137,43476,43884,44311,45184,45244,45493,45872,46257,50620,47691,47440,54241,49916,49949
"46000","South Dakota","1","Personal income (millions of dollars, seasonally adjusted)",37939.7,38155.4,36471.6,38810.1,38379.9,38491.3,38423.1,38169.3,39393.6,40335.8,40446.3,40833.2,41341.0,41628.1,42059.1,42622.4,41996.4,42090.4,42601.3,42659.1,43505.7,43773.2,43846.5,44126.8,45228.7,45396.0,45809.9,47693.4,48064.9,47795.9,48922.6,49407.7,50711.9,54731.8,51587.6,54651.5,59543.3,57468.2,57381.1
"46000","South Dakota","2","Population (midperiod, persons) 1/",830146,832573,835136,837520,839507,841590,843707,845593,847176,848794,850465,851895,852912,854034,855900,858288,860370,862518,865092,867763,870074,872423,874559,876143,877305,878630,880483,882561,884268,886104,888036,889759,891075,892182,893369,894597,895568,896770,898170
"46000","South Dakota","3","Per capita personal income (dollars) 2/",45702,45828,43672,46339,45717,45736,45541,45139,46500,47521,47558,47932,48470,48743,49140,49660,48812,48799,49245,49160,50002,50174,50136,50365,51554,51667,52028,54040,54356,53939,55091,55529,56911,61346,57745,61091,66487,64084,63887
"47000","Tennessee","1","Personal income (millions of dollars, seasonally adjusted)",250176.4,253854.7,253963.2,259888.3,255561.6,255990.8,256858.5,258604.5,262821.4,266253.1,268547.6,271532.9,276483.2,280177.2,282989.8,285474.3,286951.3,287828.2,291428.1,294751.8,298556.5,301086.1,303664.8,308943.3,313989.8,317313.7,322742.6,325751.1,332054.7,333614.7,335440.7,337890.8,341206.4,364236.5,351072.3,349670.0,400750.5,371623.9,375014.1
"47000","Tennessee","2","Population (midperiod, persons) 1/",6435772,6448766,6462115,6473762,6482300,6491499,6503636,6516790,6527636,6538608,6552182,6566296,6577319,6588896,6603224,6618193,6630836,6643997,6660163,6677315,6691842,6706488,6723622,6740647,6754715,6769854,6785603,6799757,6811165,6823430,6839050,6855807,6869301,6881164,6895106,6910829,6922373,6935011,6950667
"47000","Tennessee","3","Per capita personal income (dollars) 2/",38873,39365,39300,40145,39425,39435,39495,39683,40263,40720,40986,41353,42036,42523,42856,43135,43275,43322,43757,44142,44615,44895,45164,45833,46485,46872,47563,47906,48752,48893,49048,49285,49671,52932,50916,50597,57892,53587,53954
"48000","Texas","1","Personal income (millions of dollars, seasonally adjusted)",1133784.6,1147435.9,1143935.9,1185744.5,1161145.8,1179827.0,1192380.3,1206008.9,1242659.3,1268289.2,1287005.1,1300593.8,1306067.6,1299142.8,1301320.4,1295509.6,1282418.8,1285333.1,1299808.4,1318362.8,1353164.4,1375423.1,1397969.9,1424739.8,1453750.0,1471501.9,1494212.3,1513022.2,1526368.9,1533734.9,1549184.5,1566794.6,1569356.6,1669453.1,1625556.1,1610174.7,1817084.3,1719430.0,1736253.0
"48000","Texas","2","Population (midperiod, persons) 1/",25924635,26029555,26138928,26243963,26336948,26430062,26543248,26669434,26786541,26902775,27031296,27163480,27284209,27405449,27528149,27644151,27750654,27857845,27965345,28065522,28155090,28243338,28336925,28425791,28503171,28582279,28673803,28769210,28853875,28940565,29040906,29145907,29239757,29322694,29406563,29495549,29578917,29665740,29757438
"48000","Texas","3","Per capita personal income (dollars) 2/",43734,44082,43764,45182,44088,44640,44922,45221,46391,47143,47612,47880,47869,47405,47272,46864,46212,46139,46479,46974,48061,48699,49334,50121,51003,51483,52111,52592,52900,52996,53345,53757,53672,56934,55279,54590,61432,57960,58347
"49000","Utah","1","Personal income (millions of dollars, seasonally adjusted)",100978.9,102270.0,101873.8,106840.4,104333.2,105955.5,107138.4,107277.7,110039.9,111609.7,113223.5,115607.6,118947.0,120731.4,122070.5,123607.8,125689.1,126780.8,128454.5,130601.3,132087.1,134275.9,136900.4,139371.6,142922.3,145032.3,147398.3,149952.4,155256.2,155528.3,157950.1,160605.6,162323.7,176267.7,167585.6,172448.3,192667.3,179802.2,182332.1
"49000","Utah","2","Population (midperiod, persons) 1/",2839551,2849129,2860211,2871895,2882301,2893049,2903938,2914286,2923667,2933273,2944458,2956304,2966905,2977851,2991514,3006978,3021499,3036457,3052014,3067333,3081534,3095919,3110283,3123600,3135757,3148477,3161485,3173915,3185319,3197157,3209758,3222326,3233763,3244602,3255803,3267452,3277945,3289256,3301368
"49000","Utah","3","Per capita personal income (dollars) 2/",35562,35895,35618,37202,36198,36624,36894,36811,37638,38050,38453,39105,40091,40543,40806,41107,41598,41753,42088,42578,42864,43372,44015,44619,45578,46064,46623,47245,48741,48646,49209,49842,50197,54326,51473,52778,58777,54663,55229
"50000","Vermont","1","Personal income (millions of dollars, seasonally adjusted)",28214.0,28587.8,28334.1,29081.7,28613.5,28969.9,29021.5,29252.5,29405.1,29939.4,30475.9,30963.3,30777.6,31011.9,31189.0,31337.5,31475.4,31483.1,31669.5,31674.6,32104.9,32215.1,32521.0,32783.5,33054.0,33350.0,33566.4,33778.5,34512.5,34383.6,34618.8,34763.6,35360.3,39411.5,36451.8,36353.3,40657.0,37726.2,37538.1
"50000","Vermont","2","Population (midperiod, persons) 1/",626744,626456,626500,626676,626557,626526,626547,626431,626083,625788,625816,625973,625838,625767,625695,625415,624933,624505,624544,624838,624891,624990,625187,625186,624925,624794,624795,624709,624370,624096,624124,624193,623958,623554,623333,623198,622747,622405,622329
"50000","Vermont","3","Per capita personal income (dollars) 2/",45017,45634,45226,46406,45668,46239,46320,46697,46967,47843,48698,49464,49178,49558,49847,50107,50366,50413,50708,50692,51377,51545,52018,52438,52893,53378,53724,54071,55276,55093,55468,55694,56671,63205,58479,58333,65287,60614,60319
