"GeoFips","GeoName","LineCode","Description","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3"
"05000","Arkansas","2","Population (midperiod, persons) 1/",2948861,2951393,2954412,2956967,2958048,2959393,2961854,2964523,2966087,2967707,2970703,2974146,2976103,2978327,2981660,2985162,2987556,2990183,2993778,2997409,2999789,3002204,3005353,3007994,3009269,3010961,3013701,3016441,3017916,3019728,3022961,3026581,3028684,3029995,3032333,3035564,3036787,3038401,3041450
"05000","Arkansas","3","Per capita personal income (dollars) 2/",35948,36510,36135,37535,36437,36570,36729,36659,37694,38488,38869,39500,39329,39670,40062,40276,40399,40647,40759,41050,41585,41692,41842,42373,42783,43127,43629,44217,44502,44526,44881,45193,45505,50009,46740,46618,53623,49552,49862
"06000","California","1","Personal income (millions of dollars, seasonally adjusted)",1786135.4,1808358.6,1808445.3,1905728.1,1817215.5,1848098.9,1867393.2,1896095.8,1923713.3,1960824.8,2003994.1,2034415.2,2084189.7,2117632.1,2138781.8,2161117.7,2188444.1,2202876.8,2229957.3,2252552.9,2276491.7,2303072.8,2330550.7,2364462.5,2383590.8,2418519.2,2451370.7,2473807.1,2510292.8,2534354.5,2547609.0,2584683.7,2622319.5,2794362.3,2848748.9,2787817.3,3069232.0,2947026.1,2968373.7
"06000","California","2","Population (midperiod, persons) 1/",37836357,37906496,37991364,38078439,38147665,38215641,38300046,38391267,38469171,38545506,38633979,38722364,38793917,38865317,38940551,39008270,39062908,39118183,39178822,39234962,39275811,39313978,39356311,39389401,39406342,39424643,39443390,39450951,39443263,39436971,39440607,39441890,39427174,39392248,39363261,39349300,39320927,39289961,39270204
"06000","California","3","Per capita personal income (dollars) 2/",47207,47706,47601,50047,47636,48360,48757,49389,50007,50870,51871,52539,53725,54486,54924,55402,56024,56313,56917,57412,57962,58582,59217,60028,60487,61345,62149,62706,63643,64263,64594,65531,66510,70937,72371,70848,78056,75007,75588
"08000","Colorado","1","Personal income (millions of dollars, seasonally adjusted)",232093.1,234958.8,234350.9,245633.6,243637.9,247909.1,251338.8,255164.9,263910.9,269442.8,273541.6,278745.3,282504.1,284908.1,285414.5,286520.6,285325.0,287204.6,290981.8,295180.4,301513.9,306425.4,311847.7,318843.6,323754.4,328930.4,335103.0,340033.8,346279.4,347920.7,352683.1,354677.2,360275.8,382610.2,368037.4,370645.1,409603.8,393676.2,399309.5
"08000","Colorado","2","Population (midperiod, persons) 1/",5167340,5184592,5204311,5224650,5242534,5260921,5281593,5302999,5322563,5342297,5366342,5392848,5416935,5441500,5466231,5489361,5510636,5532392,5553813,5573234,5590505,5607931,5628134,5648978,5667513,5686872,5705573,5721755,5735770,5750513,5765979,5780371,5792330,5802805,5814775,5828171,5838464,5849598,5863017
"08000","Colorado","3","Per capita personal income (dollars) 2/",44915,45319,45030,47014,46473,47123,47588,48117,49583,50436,50974,51688,52152,52358,52214,52196,51777,51913,52393,52964,53933,54641,55409,56443,57125,57840,58733,59428,60372,60503,61166,61359,62199,65935,63293,63595,70156,67300,68106
"09000","Connecticut","1","Personal income (millions of dollars, seasonally adjusted)",228651.8,231156.5,228599.1,236277.0,224780.3,225597.0,226493.0,227833.1,231637.3,235224.4,238584.5,241580.1,240932.5,242413.0,243587.2,245725.7,247559.2,247816.1,247771.1,247963.1,249508.8,252507.0,253950.5,256516.6,260384.5,262561.2,266950.2,267156.5,270351.9,269829.9,269448.6,271500.8,273225.2,284947.4,280433.5,279843.3,302079.5,291690.4,293153.3
"09000","Connecticut","2","Population (midperiod, persons) 1/",3593243,3594356,3596017,3596976,3596110,3595567,3596230,3596926,3596282,3595694,3595527,3594551,3591851,3589395,3587986,3586373,3583476,3580783,3579838,3579440,3577592,3575730,3575813,3576304,3575169,3574474,3574066,3572588,3569578,3566936,3565941,3565302,3562853,3559122,3555590,3552301,3548297,3544930,3542240
"09000","Connecticut","3","Per capita personal income (dollars) 2/",63634,64311,63570,65688,62507,62743,62981,63341,64410,65418,66356,67207,67078,67536,67890,68516,69084,69207,69213,69274,69742,70617,71019,71727,72831,73455,74691,74780,75738,75648,75562,76151,76687,80061,78871,78778,85134,82284,82759
