date,Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,State
2017-05-01,2017,May,67.6,66.0,2952554.0,2880674.0,71880.0,2.4,Colorado
2017-06-01,2017,Jun,67.8,66.1,2963235.0,2888997.0,74238.0,2.5,Colorado
2017-07-01,2017,Jul,67.9,66.1,2973006.0,2895586.0,77420.0,2.6,Colorado
2017-08-01,2017,Aug,68.0,66.1,2981249.0,2900866.0,80383.0,2.7,Colorado
2017-09-01,2017,Sep,68.0,66.1,2987772.0,2905274.0,82498.0,2.8,Colorado
2017-10-01,2017,Oct,68.0,66.1,2993236.0,2909396.0,83840.0,2.8,Colorado
2017-11-01,2017,Nov,68.1,66.1,2998232.0,2913494.0,84738.0,2.8,Colorado
2017-12-01,2017,Dec,68.1,66.2,3003856.0,2918625.0,85231.0,2.8,Colorado
2018-01-01,2018,Jan,68.2,66.2,3011265.0,2925684.0,85581.0,2.8,Colorado
2018-02-01,2018,Feb,68.3,66.3,3021061.0,2934778.0,86283.0,2.9,Colorado
2018-03-01,2018,Mar,68.5,66.5,3032276.0,2944618.0,87658.0,2.9,Colorado
2018-04-01,2018,Apr,68.6,66.6,3042661.0,2953048.0,89613.0,2.9,Colorado
2018-05-01,2018,May,68.7,66.6,3050463.0,2958696.0,91767.0,3.0,Colorado
2018-06-01,2018,Jun,68.7,66.6,3055260.0,2961635.0,93625.0,3.1,Colorado
2018-07-01,2018,Jul,68.6,66.5,3057518.0,2962584.0,94934.0,3.1,Colorado
2018-08-01,2018,Aug,68.6,66.4,3058712.0,2962957.0,95755.0,3.1,Colorado
2018-09-01,2018,Sep,68.5,66.3,3060322.0,2964255.0,96067.0,3.1,Colorado
2018-10-01,2018,Oct,68.5,66.3,3063162.0,2967541.0,95621.0,3.1,Colorado
2018-11-01,2018,Nov,68.5,66.4,3067446.0,2973061.0,94385.0,3.1,Colorado
2018-12-01,2018,Dec,68.5,66.5,3072704.0,2980318.0,92386.0,3.0,Colorado
2019-01-01,2019,Jan,68.6,66.6,3078085.0,2988314.0,89771.0,2.9,Colorado
2019-02-01,2019,Feb,68.6,66.7,3082935.0,2996360.0,86575.0,2.8,Colorado
2019-03-01,2019,Mar,68.6,66.8,3087255.0,3003973.0,83282.0,2.7,Colorado
2019-04-01,2019,Apr,68.6,66.8,3091746.0,3011221.0,80525.0,2.6,Colorado
2019-05-01,2019,May,68.6,66.9,3096196.0,3017467.0,78729.0,2.5,Colorado
2019-06-01,2019,Jun,68.6,66.9,3100170.0,3022172.0,77998.0,2.5,Colorado
2019-07-01,2019,Jul,68.6,66.9,3103416.0,3025390.0,78026.0,2.5,Colorado
2019-08-01,2019,Aug,68.6,66.9,3106235.0,3027998.0,78237.0,2.5,Colorado
2019-09-01,2019,Sep,68.6,66.9,3109722.0,3031501.0,78221.0,2.5,Colorado
2019-10-01,2019,Oct,68.6,66.9,3114264.0,3035664.0,78600.0,2.5,Colorado
2019-11-01,2019,Nov,68.6,66.9,3119391.0,3039557.0,79834.0,2.6,Colorado
2019-12-01,2019,Dec,68.6,66.8,3122796.0,3040942.0,81854.0,2.6,Colorado
2020-01-01,2020,Jan,68.6,66.7,3122529.0,3038414.0,84115.0,2.7,Colorado
2020-02-01,2020,Feb,68.4,66.5,3117993.0,3032120.0,85873.0,2.8,Colorado
2020-03-01,2020,Mar,69.6,66.3,3178419.0,3024629.0,153790.0,4.8,Colorado
2020-04-01,2020,Apr,66.1,58.4,3018545.0,2667130.0,351415.0,11.6,Colorado
2020-05-01,2020,May,67.9,59.9,3103940.0,2737435.0,366505.0,11.8,Colorado
2020-06-01,2020,Jun,68.0,60.5,3111741.0,2770139.0,341602.0,11.0,Colorado
2020-07-01,2020,Jul,65.6,61.3,3006748.0,2807950.0,198798.0,6.6,Colorado
2020-08-01,2020,Aug,66.0,61.9,3027478.0,2839943.0,187535.0,6.2,Colorado
2020-09-01,2020,Sep,66.7,62.5,3063615.0,2868371.0,195244.0,6.4,Colorado
2020-10-01,2020,Oct,67.0,62.8,3076024.0,2887428.0,188596.0,6.1,Colorado
2020-11-01,2020,Nov,67.3,63.1,3092744.0,2901044.0,191700.0,6.2,Colorado
2020-12-01,2020,Dec,67.6,63.3,3111186.0,2911239.0,199947.0,6.4,Colorado
2021-01-01,2021,Jan,67.7,63.4,3115249.0,2920988.0,194261.0,6.2,Colorado
2021-02-01,2021,Feb,67.9,63.6,3126937.0,2932239.0,194698.0,6.2,Colorado
2021-03-01,2021,Mar,68.0,63.9,3136851.0,2945538.0,191313.0,6.1,Colorado
2021-04-01,2021,Apr,68.3,64.1,3149810.0,2959120.0,190690.0,6.1,Colorado
2021-05-01,2021,May,68.3,64.4,3154026.0,2971450.0,182576.0,5.8,Colorado
2021-06-01,2021,Jun,68.5,64.5,3167911.0,2981789.0,186122.0,5.9,Colorado
2021-07-01,2021,Jul,68.5,64.7,3169069.0,2991698.0,177371.0,5.6,Colorado
2021-08-01,2021,Aug,68.5,64.8,3171815.0,3002482.0,169333.0,5.3,Colorado
2021-09-01,2021,Sep,68.3,65.0,3164367.0,3014432.0,149935.0,4.7,Colorado
2021-10-01,2021,Oct,68.3,65.2,3169784.0,3026333.0,143451.0,4.5,Colorado
2021-11-01,2021,Nov,68.3,65.3,3170872.0,3033312.0,137560.0,4.3,Colorado
2021-12-01,2021,Dec,68.2,65.3,3170694.0,3037677.0,133017.0,4.2,Colorado
2022-01-01,2022,Jan,68.5,65.7,3187417.0,3055156.0,132261.0,4.1,Colorado
2012-01-01,2012,Jan,64.1,58.0,4765809.0,4312847.0,452962.0,9.5,Georgia
2012-02-01,2012,Feb,64.0,58.0,4764273.0,4315884.0,448389.0,9.4,Georgia
2012-03-01,2012,Mar,64.0,58.0,4764404.0,4318945.0,445459.0,9.3,Georgia
2012-04-01,2012,Apr,63.9,58.0,4765619.0,4322617.0,443002.0,9.3,Georgia
2012-05-01,2012,May,63.9,58.0,4767757.0,4327976.0,439781.0,9.2,Georgia
2012-06-01,2012,Jun,63.8,58.0,4770468.0,4335207.0,435261.0,9.1,Georgia
2012-07-01,2012,Jul,63.8,58.0,4773009.0,4343500.0,429509.0,9.0,Georgia
2012-08-01,2012,Aug,63.8,58.1,4775669.0,4351928.0,423741.0,8.9,Georgia
2012-09-01,2012,Sep,63.7,58.2,4778749.0,4359383.0,419366.0,8.8,Georgia
2012-10-01,2012,Oct,63.7,58.2,4780398.0,4364003.0,416395.0,8.7,Georgia
2012-11-01,2012,Nov,63.6,58.1,4779443.0,4365109.0,414334.0,8.7,Georgia
2012-12-01,2012,Dec,63.5,58.1,4776076.0,4363590.0,412486.0,8.6,Georgia
2013-01-01,2013,Jan,63.4,58.0,4771071.0,4360605.0,410466.0,8.6,Georgia
2013-02-01,2013,Feb,63.3,57.9,4765817.0,4357909.0,407908.0,8.6,Georgia
2013-03-01,2013,Mar,63.2,57.8,4761620.0,4357295.0,404325.0,8.5,Georgia
2013-04-01,2013,Apr,63.1,57.8,4759649.0,4359853.0,399796.0,8.4,Georgia
2013-05-01,2013,May,63.1,57.8,4758784.0,4363716.0,395068.0,8.3,Georgia
2013-06-01,2013,Jun,63.0,57.8,4757233.0,4366608.0,390625.0,8.2,Georgia
2013-07-01,2013,Jul,62.9,57.8,4753872.0,4367542.0,386330.0,8.1,Georgia
2013-08-01,2013,Aug,62.7,57.7,4747684.0,4366691.0,380993.0,8.0,Georgia
2013-09-01,2013,Sep,62.6,57.6,4739785.0,4365522.0,374263.0,7.9,Georgia
2013-10-01,2013,Oct,62.4,57.6,4733883.0,4366214.0,367669.0,7.8,Georgia
2013-11-01,2013,Nov,62.3,57.6,4732267.0,4370024.0,362243.0,7.7,Georgia
2013-12-01,2013,Dec,62.3,57.6,4734481.0,4376243.0,358238.0,7.6,Georgia
2014-01-01,2014,Jan,62.3,57.6,4738716.0,4383593.0,355123.0,7.5,Georgia
2014-02-01,2014,Feb,62.3,57.7,4743210.0,4390706.0,352504.0,7.4,Georgia
2014-03-01,2014,Mar,62.3,57.7,4746928.0,4396047.0,350881.0,7.4,Georgia
2014-04-01,2014,Apr,62.2,57.6,4748750.0,4398631.0,350119.0,7.4,Georgia
2014-05-01,2014,May,62.2,57.6,4748727.0,4399795.0,348932.0,7.3,Georgia
2014-06-01,2014,Jun,62.1,57.6,4748412.0,4401903.0,346509.0,7.3,Georgia
2014-07-01,2014,Jul,62.0,57.6,4748222.0,4405529.0,342693.0,7.2,Georgia
2014-08-01,2014,Aug,62.0,57.5,4748449.0,4410760.0,337689.0,7.1,Georgia
2014-09-01,2014,Sep,61.9,57.6,4748685.0,4416904.0,331781.0,7.0,Georgia
2014-10-01,2014,Oct,61.8,57.6,4747387.0,4422548.0,324839.0,6.8,Georgia
2014-11-01,2014,Nov,61.7,57.5,4744010.0,4426681.0,317329.0,6.7,Georgia
2014-12-01,2014,Dec,61.5,57.5,4740275.0,4429609.0,310666.0,6.6,Georgia
2015-01-01,2015,Jan,61.4,57.5,4737642.0,4431983.0,305659.0,6.5,Georgia
2015-02-01,2015,Feb,61.4,57.4,4736239.0,4433957.0,302282.0,6.4,Georgia
2015-03-01,2015,Mar,61.3,57.4,4735865.0,4436481.0,299384.0,6.3,Georgia
2015-04-01,2015,Apr,61.2,57.4,4735991.0,4439804.0,296187.0,6.3,Georgia
2015-05-01,2015,May,61.1,57.4,4735398.0,4442925.0,292473.0,6.2,Georgia
2015-06-01,2015,Jun,61.0,57.3,4733228.0,4444943.0,288285.0,6.1,Georgia
2015-07-01,2015,Jul,60.9,57.3,4730359.0,4446220.0,284139.0,6.0,Georgia
2015-08-01,2015,Aug,60.8,57.2,4728148.0,4447634.0,280514.0,5.9,Georgia
2015-09-01,2015,Sep,60.7,57.2,4727779.0,4450420.0,277359.0,5.9,Georgia
2015-10-01,2015,Oct,60.7,57.2,4730976.0,4456067.0,274909.0,5.8,Georgia
2015-11-01,2015,Nov,60.7,57.2,4737800.0,4464354.0,273446.0,5.8,Georgia
2015-12-01,2015,Dec,60.7,57.2,4745734.0,4473442.0,272292.0,5.7,Georgia
